id,departement,code_departement,nombre_pc_au_public_100_000_habitants,evolution_sur_12_mois,code_region 
1,Hautes Alpes,05,259,28,93
2,Eure et Loir,28,172,84,24
3,Indre et Loire,37,198,42,24
4,Loiret,45,121,90,24
5,Haute Marne,52,223,56,44
6,Savoie,73,276,38,84
7,Tarn et Garonne,82,207,43,76
8,Vosges,88,194,189,44
9,Ardeche,07,151,17,84
10,Eure,27,217,103,28
11,Haute Garonne,31,190,52,76
12,Ille et Vilaine,35,106,34,53
13,Jura,39,109,91,27
14,Lot,46,147,27,76
15,Manche,50,162,32,28
16,Mayenne,53,138,42,52
17,Nievre,58,147,51,27
18,Oise,60,153,50,32
19,Orne,61,184,24,28
20,Haut Rhin,68,137,64,44
21,Vendee,85,158,66,52
22,Vienne,86,228,30,75
23,Haute Vienne,87,122,72,75
24,Hauts de Seine,92,166,43,11
25,Aisne,02,167,50,32
26,Alpes Maritimes,06,228,44,93
27,Calvados,14,220,52,28
28,Correze,19,210,124,75
29,Creuse,23,161,69,75
30,Gard,30,163,47,76
31,Loir et Cher,41,276,113,24
32,Morbihan,56,131,29,53
33,Pyrenees Atlantiques,64,132,30,75
34,Rhone,69,155,64,84
35,Haute Savoie,74,178,39,84
36,Paris,75,264,35,11
37,Somme,80,156,44,32
38,Cotes dArmor,22,170,34,53
39,Nord,59,171,63,32
40,Hautes Pyrenees,65,178,28,76
41,Pyrenees Orientales,66,161,49,76
42,Saone et Loire,71,150,63,27
43,Seine Maritime,76,155,71,28
44,Vaucluse,84,224,56,93
45,Allier,03,179,40,84
46,Alpes de Haute Provence,04,271,48,93
47,Aube,10,232,23,44
48,Finistere,29,151,30,53
49,Indre,36,183,27,24
50,Landes,40,201,67,75
51,Lozere,48,195,12,76
52,Meuse,55,158,41,44
53,Moselle,57,182,118,44
54,Puy de Dome,63,171,56,84
55,Bas Rhin,67,175,75,44
56,Yvelines,78,153,61,11
57,Var,83,190,56,93
58,Val de Marne,94,136,82,11
59,Charente,16,146,41,75
60,Dordogne,24,192,35,75
61,Doubs,25,118,64,27
62,Drome,26,220,54,84
63,Gironde,33,178,38,75
64,Isere,38,139,50,84
65,Loire Atlantique,44,133,50,52
66,Maine et Loire,49,150,43,52
67,Meurthe et Moselle,54,164,66,44
68,Tarn,81,160,45,76
69,Yonne,89,231,55,27
70,Essonne,91,119,35,11
71,Seine Saint Denis,93,77,42,11
72,Ardennes,08,389,59,44
73,Ariege,09,150,26,76
74,Aude,11,237,75,76
75,Bouches du Rhona,13,149,64,93
76,Cantal,15,89,38,84
77,Gers,32,143,37,76
78,Haute Saone,70,96,40,27
79,Sarthe,72,121,80,52
80,Territoire de Belfort,90,161,36,27
81,Ain,01,112,79,84
82,Aveyron,12,171,47,76
83,Charente Maritime,17,161,66,75
84,Cher,18,169,9,24
85,Cote dOrd,21,223,90,27
86,Herault,34,176,53,76
87,Loire,42,155,50,84
88,Haute Loire,43,106,45,84
89,Lot et Garonne,47,204,48,75
90,Marne,51,188,52,44
91,Pas de Calais,62,159,63,32
92,Seine et Marne,77,183,73,11
93,Deux Sevres,79,155,49,75
94,Val dOise,95,109,56,11
