id,region,category,parameter,mode,powertrain,year,unit,value
1,Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40
2,Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440
3,Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61
4,Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670
5,Australia,Historical,EV charging points,EV,Publicly available fast,2019,charging points,250
6,Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700
7,Australia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,350
8,Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2000
9,Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320
10,Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000
11,Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470
12,Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100
13,Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0
14,Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0
15,Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0
16,Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0
17,Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0
18,Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0
19,Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0
20,Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0
21,Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0
22,Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0
23,Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0
24,Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0
25,Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0
26,Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0
27,Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0
28,Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0
29,Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0
30,Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0
31,Austria,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0
32,Austria,Historical,EV charging points,EV,Publicly available slow,2020,charging points,0
33,Austria,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1600
34,Austria,Historical,EV charging points,EV,Publicly available slow,2021,charging points,8900
35,Austria,Historical,EV charging points,EV,Publicly available fast,2022,charging points,2600
36,Austria,Historical,EV charging points,EV,Publicly available slow,2022,charging points,13000
37,Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
38,Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,330
39,Belgium,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
40,Belgium,Historical,EV charging points,EV,Publicly available slow,2014,charging points,560
41,Belgium,Historical,EV charging points,EV,Publicly available fast,2015,charging points,77
42,Belgium,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1300
43,Belgium,Historical,EV charging points,EV,Publicly available fast,2016,charging points,110
44,Belgium,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1500
45,Belgium,Historical,EV charging points,EV,Publicly available fast,2017,charging points,220
46,Belgium,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
47,Belgium,Historical,EV charging points,EV,Publicly available fast,2018,charging points,240
48,Belgium,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2700
49,Belgium,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
50,Belgium,Historical,EV charging points,EV,Publicly available slow,2019,charging points,6100
51,Belgium,Historical,EV charging points,EV,Publicly available fast,2020,charging points,480
52,Belgium,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8000
53,Belgium,Historical,EV charging points,EV,Publicly available fast,2021,charging points,790
54,Belgium,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
55,Belgium,Historical,EV charging points,EV,Publicly available fast,2022,charging points,1100
56,Belgium,Historical,EV charging points,EV,Publicly available slow,2022,charging points,23000
57,Brazil,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4
58,Brazil,Historical,EV charging points,EV,Publicly available slow,2018,charging points,450
59,Brazil,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4
60,Brazil,Historical,EV charging points,EV,Publicly available slow,2019,charging points,450
61,Brazil,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4
62,Brazil,Historical,EV charging points,EV,Publicly available slow,2020,charging points,450
63,Brazil,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4
64,Brazil,Historical,EV charging points,EV,Publicly available slow,2021,charging points,700
65,Brazil,Historical,EV charging points,EV,Publicly available fast,2022,charging points,4
66,Brazil,Historical,EV charging points,EV,Publicly available slow,2022,charging points,1200
67,Canada,Historical,EV charging points,EV,Publicly available fast,2012,charging points,2
68,Canada,Historical,EV charging points,EV,Publicly available slow,2012,charging points,720
69,Canada,Historical,EV charging points,EV,Publicly available fast,2013,charging points,7
70,Canada,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
71,Canada,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
72,Canada,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2300
73,Canada,Historical,EV charging points,EV,Publicly available fast,2015,charging points,63
74,Canada,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
75,Canada,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
76,Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900
77,Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,670
78,Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5200
79,Canada,Historical,EV charging points,EV,Publicly available fast,2018,charging points,840
80,Canada,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7100
81,Canada,Historical,EV charging points,EV,Publicly available fast,2019,charging points,980
82,Canada,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8000
83,Canada,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2300
84,Canada,Historical,EV charging points,EV,Publicly available slow,2020,charging points,11000
85,Canada,Historical,EV charging points,EV,Publicly available fast,2021,charging points,3100
86,Canada,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
87,Canada,Historical,EV charging points,EV,Publicly available fast,2022,charging points,3900
88,Canada,Historical,EV charging points,EV,Publicly available slow,2022,charging points,17000
89,Chile,Historical,EV charging points,EV,Publicly available fast,2011,charging points,1
90,Chile,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1
91,Chile,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
92,Chile,Historical,EV charging points,EV,Publicly available slow,2012,charging points,6
93,Chile,Historical,EV charging points,EV,Publicly available fast,2013,charging points,5
94,Chile,Historical,EV charging points,EV,Publicly available slow,2013,charging points,8
95,Chile,Historical,EV charging points,EV,Publicly available fast,2014,charging points,5
96,Chile,Historical,EV charging points,EV,Publicly available slow,2014,charging points,13
97,Chile,Historical,EV charging points,EV,Publicly available fast,2015,charging points,5
98,Chile,Historical,EV charging points,EV,Publicly available slow,2015,charging points,22
99,Chile,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5
100,Chile,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22
101,Chile,Historical,EV charging points,EV,Publicly available fast,2017,charging points,6
102,Chile,Historical,EV charging points,EV,Publicly available slow,2017,charging points,35
103,Chile,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8
104,Chile,Historical,EV charging points,EV,Publicly available slow,2018,charging points,61
105,Chile,Historical,EV charging points,EV,Publicly available fast,2019,charging points,42
106,Chile,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
107,Chile,Historical,EV charging points,EV,Publicly available fast,2020,charging points,99
108,Chile,Historical,EV charging points,EV,Publicly available slow,2020,charging points,240
109,Chile,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
110,Chile,Historical,EV charging points,EV,Publicly available slow,2021,charging points,360
111,Chile,Historical,EV charging points,EV,Publicly available fast,2022,charging points,220
112,Chile,Historical,EV charging points,EV,Publicly available slow,2022,charging points,440
113,China,Historical,EV charging points,EV,Publicly available fast,2014,charging points,9000
114,China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000
115,China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000
