model_id,modele,ventes,annee
1,Renault Zoé,18817,2019
2,Tesla Model 3,6455,2019
3,Nissan Leaf,3738,2019
4,BMW i3,2793,2019
5,Kia e-Niro,1850,2019
6,Smart EQ Fortwo,1790,2019
7,Hyundai Kona Electric,1513,2019
8,Volkswagen E-Golf,661,2019
9,Hyundai Ioniq Electric,553,2019
10,Citroën C-Zero,543,2019
11,Renault Zoé,37409,2020
12,Peugeot e-208,16557,2020
13,Tesla Model 3,6477,2020
14,Hyundai Kona,5156,2020
15,Kia e-Niro,5089,2020
16,Volkswagen ID.3,4187,2020
17,Nissan Leaf,3395,2020
18,Peugeot e-2008,2933,2020
19,DS DS3 Crossback,2710,2020
20,Mini Electric,2481,2020
21,Tesla Model 3,24911,2021
22,Renault Zoé,23573,2021
23,Peugeot e-208,17858,2021
24,Dacia Spring,11386,2021
25,Fiat 500,9556,2021
26,Renault Twingo ZE,8837,2021
27,Kia e-Niro,6304,2021
28,Volkswagen ID3,5860,2021
29,Peugeot e-2008,5461,2021
30,Mini Cooper SE,5141,2021
