country_id,region,category,parameter,mode,powertrain,year,unit,value
1,Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49
2,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49
3,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170
4,Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220
5,Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410
6,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190
7,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370
8,Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780
9,Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500
10,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760
11,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670
12,Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200
13,Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400
14,Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200
15,Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800
16,Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200
17,Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000
18,Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300
19,Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200
20,Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000
21,Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000
22,Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000
23,Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000
24,Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000
25,Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350
26,Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990
27,Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400
28,Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100
29,Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650
30,Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700
31,Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400
32,Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000
33,Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700
34,Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800
35,Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100
36,Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000
37,Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400
38,Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800
39,Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000
40,Austria,Historical,EV stock,Cars,BEV,2019,Vehicles,30000
41,Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300
42,Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000
43,Austria,Historical,EV stock,Cars,BEV,2020,Vehicles,45000
44,Austria,Historical,EV stock,Cars,BEV,2021,Vehicles,77000
45,Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,33000
46,Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,34000
47,Austria,Historical,EV stock,Cars,BEV,2022,Vehicles,110000
48,Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48
49,Belgium,Historical,EV stock,Cars,BEV,2010,Vehicles,61
50,Belgium,Historical,EV stock,Cars,BEV,2011,Vehicles,320
51,Belgium,Historical,EV sales,Cars,BEV,2011,Vehicles,280
52,Belgium,Historical,EV sales,Cars,BEV,2012,Vehicles,570
53,Belgium,Historical,EV stock,Cars,BEV,2012,Vehicles,830
54,Belgium,Historical,EV stock,Cars,BEV,2013,Vehicles,1200
55,Belgium,Historical,EV sales,Cars,BEV,2013,Vehicles,500
56,Belgium,Historical,EV sales,Cars,BEV,2014,Vehicles,1300
57,Belgium,Historical,EV stock,Cars,BEV,2014,Vehicles,2200
58,Belgium,Historical,EV stock,Cars,BEV,2015,Vehicles,3300
59,Belgium,Historical,EV sales,Cars,BEV,2015,Vehicles,1400
60,Belgium,Historical,EV sales,Cars,BEV,2016,Vehicles,2100
61,Belgium,Historical,EV stock,Cars,BEV,2016,Vehicles,5200
62,Belgium,Historical,EV stock,Cars,BEV,2017,Vehicles,7500
63,Belgium,Historical,EV sales,Cars,BEV,2017,Vehicles,2700
64,Belgium,Historical,EV sales,Cars,BEV,2018,Vehicles,3600
65,Belgium,Historical,EV stock,Cars,BEV,2018,Vehicles,11000
66,Belgium,Historical,EV stock,Cars,BEV,2019,Vehicles,19000
67,Belgium,Historical,EV sales,Cars,BEV,2019,Vehicles,8800
68,Belgium,Historical,EV sales,Cars,BEV,2020,Vehicles,15000
69,Belgium,Historical,EV stock,Cars,BEV,2020,Vehicles,32000
70,Belgium,Historical,EV stock,Cars,BEV,2021,Vehicles,52000
71,Belgium,Historical,EV sales,Cars,BEV,2021,Vehicles,23000
72,Belgium,Historical,EV sales,Cars,BEV,2022,Vehicles,38000
73,Belgium,Historical,EV stock,Cars,BEV,2022,Vehicles,90000
74,Brazil,Historical,EV sales,Cars,BEV,2012,Vehicles,74
75,Brazil,Historical,EV sales,Cars,BEV,2013,Vehicles,130
76,Brazil,Historical,EV sales,Cars,BEV,2014,Vehicles,61
77,Brazil,Historical,EV stock,Cars,BEV,2014,Vehicles,61
78,Brazil,Historical,EV stock,Cars,BEV,2015,Vehicles,120
79,Brazil,Historical,EV sales,Cars,BEV,2015,Vehicles,59
80,Brazil,Historical,EV sales,Cars,BEV,2016,Vehicles,130
81,Brazil,Historical,EV stock,Cars,BEV,2016,Vehicles,250
82,Brazil,Historical,EV stock,Cars,BEV,2017,Vehicles,320
83,Brazil,Historical,EV sales,Cars,BEV,2017,Vehicles,25
84,Brazil,Historical,EV sales,Cars,BEV,2018,Vehicles,66
85,Brazil,Historical,EV stock,Cars,BEV,2018,Vehicles,350
86,Brazil,Historical,EV stock,Cars,BEV,2019,Vehicles,890
87,Brazil,Historical,EV sales,Cars,BEV,2019,Vehicles,540
88,Brazil,Historical,EV sales,Cars,BEV,2020,Vehicles,680
89,Brazil,Historical,EV stock,Cars,BEV,2020,Vehicles,1600
90,Brazil,Historical,EV stock,Cars,BEV,2021,Vehicles,4400
91,Brazil,Historical,EV sales,Cars,BEV,2021,Vehicles,2900
92,Brazil,Historical,EV sales,Cars,BEV,2022,Vehicles,8500
93,Brazil,Historical,EV stock,Cars,BEV,2022,Vehicles,13000
94,Canada,Historical,EV sales,Cars,BEV,2011,Vehicles,220
95,Canada,Historical,EV stock,Cars,BEV,2011,Vehicles,250
96,Canada,Historical,EV stock,Cars,BEV,2012,Vehicles,830
97,Canada,Historical,EV sales,Cars,BEV,2012,Vehicles,620
98,Canada,Historical,EV sales,Cars,BEV,2013,Vehicles,1600
99,Canada,Historical,EV stock,Cars,BEV,2013,Vehicles,2400
100,Canada,Historical,EV stock,Cars,BEV,2014,Vehicles,5400
101,Canada,Historical,EV sales,Cars,BEV,2014,Vehicles,2800
102,Canada,Historical,EV sales,Cars,BEV,2015,Vehicles,4400
103,Canada,Historical,EV stock,Cars,BEV,2015,Vehicles,9900
104,Canada,Historical,EV stock,Cars,BEV,2016,Vehicles,15000
105,Canada,Historical,EV sales,Cars,BEV,2016,Vehicles,5200
106,Canada,Historical,EV sales,Cars,BEV,2017,Vehicles,8700
107,Canada,Historical,EV stock,Cars,BEV,2017,Vehicles,25000
108,Canada,Historical,EV stock,Cars,BEV,2018,Vehicles,45000
109,Canada,Historical,EV sales,Cars,BEV,2018,Vehicles,23000
110,Canada,Historical,EV sales,Cars,BEV,2019,Vehicles,32000
111,Canada,Historical,EV stock,Cars,BEV,2019,Vehicles,76000
112,Canada,Historical,EV stock,Cars,BEV,2020,Vehicles,110000
113,Canada,Historical,EV sales,Cars,BEV,2020,Vehicles,37000
114,Canada,Historical,EV sales,Cars,BEV,2021,Vehicles,59000
115,Canada,Historical,EV stock,Cars,BEV,2021,Vehicles,160000
116,Canada,Historical,EV stock,Cars,BEV,2022,Vehicles,250000
117,Canada,Historical,EV sales,Cars,BEV,2022,Vehicles,85000
118,Chile,Historical,EV sales,Cars,BEV,2011,Vehicles,6
119,Chile,Historical,EV stock,Cars,BEV,2011,Vehicles,6
120,Chile,Historical,EV stock,Cars,BEV,2012,Vehicles,11
121,Chile,Historical,EV sales,Cars,BEV,2012,Vehicles,5
122,Chile,Historical,EV sales,Cars,BEV,2013,Vehicles,5
123,Chile,Historical,EV stock,Cars,BEV,2013,Vehicles,16
124,Chile,Historical,EV stock,Cars,BEV,2014,Vehicles,19
125,Chile,Historical,EV sales,Cars,BEV,2014,Vehicles,3
126,Chile,Historical,EV sales,Cars,BEV,2015,Vehicles,13
127,Chile,Historical,EV stock,Cars,BEV,2015,Vehicles,32
128,Chile,Historical,EV stock,Cars,BEV,2016,Vehicles,54
129,Chile,Historical,EV sales,Cars,BEV,2016,Vehicles,22
130,Chile,Historical,EV sales,Cars,BEV,2017,Vehicles,120
131,Chile,Historical,EV stock,Cars,BEV,2017,Vehicles,170
132,Chile,Historical,EV stock,Cars,BEV,2018,Vehicles,280
133,Chile,Historical,EV sales,Cars,BEV,2018,Vehicles,110
134,Chile,Historical,EV sales,Cars,BEV,2019,Vehicles,160
135,Chile,Historical,EV stock,Cars,BEV,2019,Vehicles,440
136,Chile,Historical,EV stock,Cars,BEV,2020,Vehicles,550
137,Chile,Historical,EV sales,Cars,BEV,2020,Vehicles,110
138,Chile,Historical,EV sales,Cars,BEV,2021,Vehicles,270
139,Chile,Historical,EV stock,Cars,BEV,2021,Vehicles,820
140,Chile,Historical,EV stock,Cars,BEV,2022,Vehicles,1700
141,Chile,Historical,EV sales,Cars,BEV,2022,Vehicles,880
142,China,Historical,EV stock,Cars,BEV,2010,Vehicles,1600
143,China,Historical,EV sales,Cars,BEV,2010,Vehicles,1100
144,China,Historical,EV sales,Cars,BEV,2011,Vehicles,4800
145,China,Historical,EV stock,Cars,BEV,2011,Vehicles,6300
146,China,Historical,EV stock,Cars,BEV,2012,Vehicles,16000
147,China,Historical,EV sales,Cars,BEV,2012,Vehicles,9600
148,China,Historical,EV sales,Cars,BEV,2013,Vehicles,15000
149,China,Historical,EV stock,Cars,BEV,2013,Vehicles,31000
150,China,Historical,EV stock,Cars,BEV,2014,Vehicles,59000
