id,type_energie,annee,valeur
1,Essence,2011,573.5
2,Diesel,2011,1595.8
3,Hybride,2011,13.6
4,Electricite  ,2011,2.6
5,Bicarburation ,2011,12.1
6,Autres,2011,6.6
7,Essence,2012,471.2
8,Diesel,2012,1384.5
9,Hybride,2012,27.9
10,Electricite  ,2012,5.7
11,Bicarburation ,2012,2.1
12,Autres,2012,7.4
13,Essence,2013,532.1
14,Diesel,2013,1199.7
15,Hybride,2013,46.7
16,Electricite  ,2013,8.8
17,Bicarburation ,2013,2.8
18,Autres,2013,0.3
19,Essence,2014,592.9
20,Diesel,2014,1146.7
21,Hybride,2014,43.1
22,Electricite  ,2014,10.6
23,Bicarburation ,2014,2.3
24,Autres,2014,0.3
25,Essence,2015,739.4
26,Diesel,2015,1097.1
27,Hybride,2015,61.6
28,Electricite  ,2015,17.3
29,Bicarburation ,2015,1.6
30,Autres,2015,0.3
31,Essence,2016,883.1
32,Diesel,2016,1050.4
33,Hybride,2016,58.4
34,Electricite  ,2016,21.8
35,Bicarburation ,2016,0.4
36,Autres,2016,1.1
37,Essence,2017,1004.3
38,Diesel,2017,998.1
39,Hybride,2017,81.6
40,Electricite  ,2017,24.9
41,Bicarburation ,2017,1.0
42,Autres,2017,0.8
43,Essence,2018,1188.1
44,Diesel,2018,844.8
45,Hybride,2018,106.4
46,Electricite  ,2018,31.1
47,Bicarburation ,2018,2.3
48,Autres,2018,0.8
49,Essence,2019,1281.8
50,Diesel,2019,755.6
51,Hybride,2019,125.4
52,Electricite  ,2019,42.8
53,Bicarburation ,2019,2.1
54,Autres,2019,6.6
55,Essence,2020,774.4
56,Diesel,2020,504.2
57,Hybride,2020,243.7
58,Electricite  ,2020,110.9
59,Bicarburation ,2020,16.6
60,Autres,2020,0.3
61,Essence,2021,669.9
62,Diesel,2021,349.5
63,Hybride,2021,430.9
64,Electricite  ,2021,162.1
65,Bicarburation ,2021,46.4
66,Autres,2021,0.2
