id,type_energie,type_voiture,annee,valeur
1,Gazole,particulier,2011,0
2,Gazole hybride non rechargeable,particulier,2011,0
3,Gazole hybride rechargeable,particulier,2011,0
4,Essence,particulier,2011,0
5,Essence hybride non rechargeable,particulier,2011,0
6,Essence hybride rechargeable,particulier,2011,0
7,Electrique et hydrogene,particulier,2011,0
8,Gaz,particulier,2011,0
9,Inconnu,particulier,2011,0
10,Gazole,entreprise,2011,0
11,Gazole hybride non rechargeable,entreprise,2011,0
12,Gazole hybride rechargeable,entreprise,2011,0
13,Essence,entreprise,2011,0
14,Essence hybride non rechargeable,entreprise,2011,0
15,Essence hybride rechargeable,entreprise,2011,0
16,Electrique et hydrogene,entreprise,2011,0
17,Gaz,entreprise,2011,0
18,Inconnu,entreprise,2011,0
19,Gazole,transport commun,2011,0
20,Gazole hybride non rechargeable,transport commun,2011,0
21,Gazole hybride rechargeable,transport commun,2011,0
22,Essence,transport commun,2011,0
23,Essence hybride non rechargeable,transport commun,2011,0
24,Electrique et hydrogene,transport commun,2011,0
25,Gaz,transport commun,2011,0
26,Inconnu,transport commun,2011,0
27,Gazole,particulier,2012,21654866
28,Gazole hybride non rechargeable,particulier,2012,584
29,Gazole hybride rechargeable,particulier,2012,104
30,Essence,particulier,2012,13345276
31,Essence hybride non rechargeable,particulier,2012,11003
32,Essence hybride rechargeable,particulier,2012,27918
33,Electrique et hydrogene,particulier,2012,4292
34,Gaz,particulier,2012,204735
35,Inconnu,particulier,2012,3853
36,Gazole,entreprise,2012,1754721
37,Gazole hybride non rechargeable,entreprise,2012,582
38,Gazole hybride rechargeable,entreprise,2012,99
39,Essence,entreprise,2012,441193
40,Essence hybride non rechargeable,entreprise,2012,1931
41,Essence hybride rechargeable,entreprise,2012,7286
42,Electrique et hydrogene,entreprise,2012,3487
43,Gaz,entreprise,2012,12949
44,Inconnu,entreprise,2012,122
45,Gazole,transport commun,2012,0
46,Gazole hybride non rechargeable,transport commun,2012,0
47,Gazole hybride rechargeable,transport commun,2012,0
48,Essence,transport commun,2012,0
49,Essence hybride non rechargeable,transport commun,2012,0
50,Electrique et hydrogene,transport commun,2012,0
51,Gaz,transport commun,2012,0
52,Inconnu,transport commun,2012,0
53,Gazole,particulier,2013,22255893
54,Gazole hybride non rechargeable,particulier,2013,9124
55,Gazole hybride rechargeable,particulier,2013,266
56,Essence,particulier,2013,13006654
57,Essence hybride non rechargeable,particulier,2013,25117
58,Essence hybride rechargeable,particulier,2013,30434
59,Electrique et hydrogene,particulier,2013,9493
60,Gaz,particulier,2013,190682
61,Inconnu,particulier,2013,4065
62,Gazole,entreprise,2013,1789120
63,Gazole hybride non rechargeable,entreprise,2013,4950
64,Gazole hybride rechargeable,entreprise,2013,118
65,Essence,entreprise,2013,411225
66,Essence hybride non rechargeable,entreprise,2013,5640
67,Essence hybride rechargeable,entreprise,2013,6355
68,Electrique et hydrogene,entreprise,2013,6325
69,Gaz,entreprise,2013,11972
70,Inconnu,entreprise,2013,114
71,Gazole,transport commun,2013,0
72,Gazole hybride non rechargeable,transport commun,2013,0
73,Gazole hybride rechargeable,transport commun,2013,0
74,Essence,transport commun,2013,0
75,Essence hybride non rechargeable,transport commun,2013,0
76,Electrique et hydrogene,transport commun,2013,0
77,Gaz,transport commun,2013,0
78,Inconnu,transport commun,2013,0
79,Gazole,particulier,2014,22807569
80,Gazole hybride non rechargeable,particulier,2014,22538
81,Gazole hybride rechargeable,particulier,2014,520
82,Essence,particulier,2014,12856477
83,Essence hybride non rechargeable,particulier,2014,57666
84,Essence hybride rechargeable,particulier,2014,29937
85,Electrique et hydrogene,particulier,2014,17144
86,Gaz,particulier,2014,184752
87,Inconnu,particulier,2014,4001
88,Gazole,entreprise,2014,1826577
89,Gazole hybride non rechargeable,entreprise,2014,10919
90,Gazole hybride rechargeable,entreprise,2014,264
91,Essence,entreprise,2014,410417
92,Essence hybride non rechargeable,entreprise,2014,13434
93,Essence hybride rechargeable,entreprise,2014,5229
94,Electrique et hydrogene,entreprise,2014,10121
95,Gaz,entreprise,2014,10983
96,Inconnu,entreprise,2014,132
97,Gazole,transport commun,2014,87603
98,Gazole hybride non rechargeable,transport commun,2014,209
